"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip1_4","alpha_zip1_5","alpha_zip1_6","alpha_zip1_7","alpha_zip1_8","alpha_zip1_9","alpha_zip1_10","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","alpha_zip2_4","alpha_zip2_5","alpha_zip2_6","alpha_zip2_7","alpha_zip2_8","alpha_zip2_9","alpha_zip2_10","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5","sigma2_6","sigma2_7","sigma2_8","sigma2_9","sigma2_10"
"1","37.4927815159162","mins","11","0.00483113182110023","0","0.11859489547641","0.228005689226901","0.259822515542956","0.307057882441081","0.359140831337048","0.394631895153557","0.457479100946739","0.561095889645681","0.715948927402458","0.736900326318762","0.604189824062461","0.468260187597476","0.435995295037535","0.365531885688034","0.315448744126371","0.285599588637173","0.225534097083343","0.144029026780517","0.039150269352985","-0.0485250649322092","-0.343940376442605","-0.028948635559133","-0.460808732612077","2.12097518792842","1.61885086158271","1.07827090392726","0.965742659729724","0.834174227049568","0.901133646196029","0.948563374555964","1.20848756890831","1.53104667611067","2.01049256886392"
"2","30.5501392642657","mins","9","0.00361680308777337","0","0.0938304812397827","0.179143027156965","0.218785684360307","0.290727557840481","0.330828156109472","0.396642831803184","0.46535759677659","0.597715760473667","0.751234091072772","0.714672092874989","0.548585066425586","0.435084266079237","0.372423125992186","0.304129744560644","0.267269630672626","0.216246294884324","0.150318278495064","0.0746560332593805","-0.0515617277835887","0.198658431906683","-0.187252350665102","-0.234474243241861","-0.703064679671818","2.44007446958169","1.95838834495891","1.46592531423259","1.29381441702447","1.16771035805564","1.1208614994151","1.16985340825443","1.48820557972722","1.92558422560042","2.54518839508814"
"3","57.0865419824918","mins","17","0.00464231282736127","0","0.152255623229418","0.254713767951493","0.325667766466922","0.362113286306272","0.425823393306223","0.474387283345206","0.550899185739151","0.636610623481339","0.777315415598127","0.858315720872392","0.684848833214895","0.584833659274914","0.515133356059317","0.468594723283739","0.400969057814664","0.35693505924026","0.298988130672686","0.21107729065437","0.081837865955799","-0.197789418854774","-0.541308311157213","0.206960176547008","-0.218147860006983","2.65445829617505","1.78724327768801","1.33061694748735","1.05814155779282","1.02180705224846","1.06416253941184","1.10154175563461","1.37558389126376","1.84368978273842","2.50734855489998"
"4","30.2762344002724","mins","9","0.00394638805074057","0","0.138746781211698","0.2266732847963","0.262468033846462","0.326534757952523","0.374855001828956","0.443837274304159","0.551259376532789","0.65592402997938","0.816196245459632","0.924364076475873","0.70286398151423","0.572868296586378","0.520406886936347","0.439966353969269","0.390989397774772","0.331737269082638","0.273280528658452","0.182914580573081","0.0857437894043822","0.178306293204968","-0.202062230206985","-0.175831203707065","-0.637600507780074","2.95672192048975","2.01682306972458","1.529716573035","1.52242114299602","1.16569519447861","1.21989682172075","1.40833051798374","1.65854177741482","2.16755334444064","2.70721884980398"
"5","33.5718244989713","mins","10","0.00371241104881157","0","0.105367184217566","0.187465927484877","0.245508340899346","0.282704202368749","0.319861578767734","0.372293278844639","0.448883006867999","0.524703633201191","0.690776482776418","0.712114202265571","0.578163290227256","0.476289230862162","0.40842714756159","0.37688142413169","0.318139237970483","0.283585421340319","0.236012277068583","0.148438981528318","0.0536284846536369","0.170410111831269","-0.135473596844693","-0.068685323380047","-0.44582325366571","1.92772901948248","1.43704114741701","1.08457769626718","0.860873143817643","0.780749301896971","0.821135510111928","0.923934856114189","1.05065480021499","1.39639784117677","1.8872245852955"
"6","26.8608466188113","mins","8","0.00437168914825974","0","0.0619447417207662","0.134062662041167","0.19015062212263","0.24348410226831","0.292147580063053","0.347519506998598","0.397742497691863","0.505649941475729","0.639095614946901","0.615470904747545","0.546834357373646","0.399890311722142","0.341362661341761","0.274114783744694","0.230578389952692","0.175673151254755","0.155234932832215","0.0632250379321452","-0.0161590535703309","0.167135627305044","-0.18249670616177","-0.228248911638574","-0.681105591103838","1.81063093729973","1.59931586619906","1.13724352479987","1.01666424517317","0.884431542043992","0.929651548473196","1.00106067616802","1.11399878316373","1.5051151160832","1.85694964647427"
"7","36.8887083808581","mins","11","0.00437519912386268","0","0.106682465732751","0.18922703104656","0.250934240238683","0.286153982186802","0.317774439882629","0.368000421354963","0.461082871509837","0.533606159304119","0.709004747608149","0.661256834310611","0.525891393424621","0.40711997459045","0.340685755086527","0.300842769729823","0.25898077304751","0.227547648883816","0.163992856995507","0.0798647298982684","-0.0546326761356492","-0.202720096183227","-0.512901989403167","0.172992810574578","-0.231716118065181","2.06088810835641","1.50660981234699","1.16082162941356","0.88639545177848","0.871493413700551","0.850810928298011","0.877489644277782","1.17339537245166","1.49910880256335","2.15084943974188"
"8","36.9778289357821","mins","11","0.00467508001847739","0","0.111607638653687","0.195532180502033","0.255543405487151","0.300189763867728","0.353436328525195","0.408116629930661","0.467944556643004","0.596380611252949","0.748072426633742","0.631687998336819","0.467859654813753","0.386694709985455","0.295402979316048","0.253897509727069","0.201024072992373","0.160400732265998","0.105869707777439","-0.0108218669765873","-0.123953889252963","0.0618239258628501","-0.290265962055185","-0.0616173201991393","-0.501621327202094","2.32850039807848","1.71348865815822","1.37497868715732","1.10704049068118","1.0398942049793","0.924341021767443","1.14882781955735","1.31547042674476","1.78298344639544","2.38913999085844"
"9","26.8875023325284","mins","8","0.00378839716311704","0","0.0989550130743378","0.17437048769598","0.216065601771213","0.262469400236864","0.305257819334185","0.341189235048978","0.420913239293542","0.556930095671796","0.664252687981438","0.666763737274885","0.513950366406244","0.405340726905271","0.343910841093025","0.279560546833111","0.239545395992045","0.217362970441723","0.164769561132921","0.0615215547130099","-0.0170717578934366","0.191871852814558","-0.133884540803715","-0.155250730388749","-0.573369738725744","1.84749168889298","1.36482820836053","1.0804920736346","0.911121863208724","0.826383698920045","0.872508908148407","0.863128759245193","0.98270120168807","1.46253185917344","1.83451649861054"
"10","40.1041301488876","mins","12","0.00348510876966789","0","0.147168286930909","0.221531348070782","0.287375170360581","0.339972509502068","0.369820988471189","0.424807907017297","0.483613662589977","0.607462520406197","0.75557466509111","0.835735937475843","0.65586712789793","0.557528081202091","0.482780553310391","0.418748406880919","0.394749168304878","0.340761944084042","0.291144478875576","0.194826430719663","0.0805145724582257","0.000976305588460291","-0.325307355280927","-0.0762995563590196","-0.53078660606236","2.40315896085163","1.61547997629888","1.30042287289576","0.97570067175903","0.96863952442591","1.03997319302014","1.01355836251412","1.19614285408978","1.68538197655348","2.31010143297686"
